"With Google Photos, backup &amp; store unlimited, high-quality photos and videos. For free. http://t.co/U5i2Bd3G8b #io15 http://t.co/AEL1FznlY4", "56.8579962053", "Thu May 28 17:50:01 +0000 2015", "google"
"Today, we take more photos every 2 minutes than everyone, everywhere took in the 1800s. #io15 http://t.co/jxAMLdtOMx", "0", "Thu May 28 17:40:06 +0000 2015", "google"
"In Android M, tap &amp; hold the home button for help from Google, no matter what you’re doing on your phone. #io15 http://t.co/It3RYvDwSt", "0", "Thu May 28 17:32:28 +0000 2015", "google"
""How can we get you quick answers to quick questions? How can we help you get things done in as few steps as possible?" #io15", "0", "Thu May 28 17:31:41 +0000 2015", "google"
"There are 1 billion entities in the Knowledge Graph, which powers the answers you get from Google. https://t.co/qUcf0AHmzg #io15", "0", "Thu May 28 17:30:25 +0000 2015", "google"
"New features for Sam  Undo Send, Trip Bundles &amp; other helpful time savers http://t.co/s8RkN7JSJp #io15 http://t.co/7D5NGkNaCO", "56.8579962053", "Thu May 28 17:28:35 +0000 2015", "google"
"Android Wear: Your choice of 7 watches, 1,500+ faces, and 4,000+ apps (and growing!) #io15 http://t.co/W6aY5H6F6c", "0", "Thu May 28 17:15:02 +0000 2015", "google"
"In development now: Android M, our most powerful release ever, with hundreds of platform improvements. #io15 http://t.co/xcdaTE42Y6", "0", "Thu May 28 17:07:05 +0000 2015", "google"
"Android Pay will let you pay for things with your phone, without opening an app, at 700K+ stores in the US #io15", "0", "Thu May 28 17:01:02 +0000 2015", "google"
"Android Auto lets you access Search, Maps, music &amp; more through your car’s controls. https://t.co/MUiP59m8la #io15 http://t.co/vLbbmv8mtQ", "0", "Thu May 28 16:48:40 +0000 2015", "google"
"No two Android users are the same, which is why Android devices come in all shapes &amp; sizes #io15 http://t.co/3Fy1ljFRT5", "0", "Thu May 28 16:47:46 +0000 2015", "google"
"Welcome to Google #io15! We’re live tweeting Sam  keynote. Follow along or watch → http://t.co/yb35KKneIq http://t.co/sanCpcULfW", "40.2097739271", "Thu May 28 16:27:41 +0000 2015", "google"
